S level segment,S level closest match,exact_match,mapped_segments
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S1-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,S2-S3,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S1-S3,,True,S1;S1-S3;S2;S2-S3;S3;S3-S4
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S4,S4,True,S3-S4;S4;S4-S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
S6,S5-S6,True,S5-S7;S6
